"g1id","g2id","y","ix1","ix2","g1x","g2x"
60,7,5,5,3,7,1
60,7,5,4,3,7,1
60,7,3,4,3,7,1
60,7,4,4,4,7,1
60,7,5,4,5,7,1
60,7,5,4,5,7,1
60,7,4,2,2,7,1
60,7,5,4,4,7,1
61,7,4,5,3,4,1
61,7,3,3,4,4,1
61,7,4,3,4,4,1
61,7,3,4,3,4,1
61,7,3,4,4,4,1
61,7,3,4,4,4,1
61,7,4,6,3,4,1
61,7,4,4,4,4,1
61,7,4,5,3,4,1
61,7,4,4,5,4,1
61,7,4,3,4,4,1
61,7,5,5,4,4,1
61,7,4,4,4,4,1
61,7,3,5,4,4,1
61,7,3,4,4,4,1
61,7,4,4,3,4,1
61,7,4,4,4,4,1
61,7,4,5,4,4,1
61,7,4,4,3,4,1
61,7,4,3,4,4,1
61,7,4,5,4,4,1
61,7,4,6,4,4,1
61,7,4,6,5,4,1
61,7,4,4,3,4,1
61,7,4,4,3,4,1
61,7,3,5,3,4,1
61,7,5,3,3,4,1
61,7,3,4,4,4,1
61,7,4,3,4,4,1
61,7,3,3,3,4,1
61,7,4,4,3,4,1
61,7,3,4,4,4,1
61,7,4,3,3,4,1
61,7,4,4,4,4,1
61,7,4,4,4,4,1
61,7,4,3,3,4,1
61,7,4,3,3,4,1
61,7,4,4,3,4,1
61,7,4,5,4,4,1
61,7,4,4,5,4,1
61,7,4,5,3,4,1
61,7,4,4,4,4,1
61,7,4,6,3,4,1
61,7,4,5,4,4,1
61,7,4,4,3,4,1
61,7,4,3,4,4,1
61,7,4,3,4,4,1
61,7,4,4,2,4,1
61,7,4,4,3,4,1
61,7,3,5,4,4,1
62,7,3,5,4,4,1
62,7,3,5,5,4,1
62,7,4,3,6,4,1
62,7,4,4,4,4,1
62,7,4,4,3,4,1
62,7,4,5,4,4,1
62,7,4,5,5,4,1
62,7,3,4,4,4,1
62,7,3,4,4,4,1
62,7,4,4,4,4,1
62,7,3,4,5,4,1
62,7,3,4,4,4,1
62,7,4,6,3,4,1
62,7,3,4,3,4,1
62,7,4,5,5,4,1
62,7,3,4,3,4,1
62,7,3,4,3,4,1
62,7,3,3,3,4,1
62,7,3,4,4,4,1
62,7,4,6,5,4,1
62,7,4,3,4,4,1
62,7,3,4,4,4,1
62,7,3,5,4,4,1
62,7,3,3,3,4,1
62,7,4,3,4,4,1
62,7,3,5,4,4,1
62,7,3,5,3,4,1
62,7,4,4,3,4,1
62,7,3,5,3,4,1
62,7,3,3,3,4,1
62,7,3,5,4,4,1
62,7,3,4,4,4,1
62,7,3,4,4,4,1
62,7,4,5,4,4,1
62,7,4,4,4,4,1
62,7,4,4,4,4,1
62,7,3,4,4,4,1
62,7,3,4,4,4,1
62,7,4,3,4,4,1
62,7,4,5,3,4,1
62,7,3,4,4,4,1
62,7,3,4,4,4,1
62,7,3,4,4,4,1
62,7,3,3,5,4,1
62,7,3,5,3,4,1
62,7,3,3,5,4,1
62,7,3,3,4,4,1
62,7,3,4,3,4,1
62,7,3,4,4,4,1
62,7,3,3,4,4,1
63,7,3,3,4,4,1
63,7,2,4,4,4,1
63,7,3,5,4,4,1
63,7,3,4,3,4,1
63,7,3,5,4,4,1
63,7,3,4,3,4,1
63,7,4,4,3,4,1
63,7,3,4,3,4,1
63,7,3,5,3,4,1
63,7,3,5,4,4,1
63,7,4,4,4,4,1
63,7,3,4,4,4,1
63,7,3,3,3,4,1
63,7,3,3,2,4,1
63,7,4,5,5,4,1
63,7,4,5,3,4,1
63,7,3,5,3,4,1
63,7,2,4,3,4,1
63,7,2,4,3,4,1
63,7,4,2,3,4,1
63,7,3,3,5,4,1
63,7,3,3,4,4,1
63,7,3,5,2,4,1
63,7,3,4,4,4,1
63,7,3,5,4,4,1
63,7,3,4,4,4,1
63,7,3,5,2,4,1
63,7,3,2,3,4,1
63,7,3,4,3,4,1
63,7,3,5,3,4,1
63,7,4,4,4,4,1
63,7,3,5,5,4,1
63,7,4,5,4,4,1
63,7,3,4,3,4,1
63,7,4,4,4,4,1
63,7,4,5,3,4,1
63,7,3,3,6,4,1
63,7,4,4,4,4,1
63,7,3,4,3,4,1
63,7,4,5,4,4,1
63,7,2,4,5,4,1
63,7,3,5,4,4,1
63,7,2,3,4,4,1
63,7,3,3,5,4,1
63,7,4,4,4,4,1
63,7,4,4,3,4,1
63,7,3,5,2,4,1
63,7,3,4,4,4,1
63,7,3,3,3,4,1
63,7,4,5,3,4,1
64,7,3,4,3,6,1
64,7,4,3,3,6,1
64,7,4,3,4,6,1
64,7,5,5,5,6,1
64,7,4,3,4,6,1
64,7,5,4,5,6,1
64,7,4,5,4,6,1
64,7,4,5,3,6,1
64,7,4,4,4,6,1
64,7,3,4,3,6,1
64,7,4,4,4,6,1
64,7,4,4,4,6,1
64,7,4,3,3,6,1
64,7,3,5,3,6,1
64,7,4,5,3,6,1
64,7,4,3,4,6,1
64,7,3,4,3,6,1
64,7,4,4,4,6,1
64,7,3,5,3,6,1
64,7,3,5,3,6,1
64,7,3,4,2,6,1
64,7,5,4,4,6,1
64,7,4,3,3,6,1
64,7,5,4,5,6,1
64,7,3,4,3,6,1
64,7,4,4,4,6,1
64,7,4,6,3,6,1
64,7,4,4,3,6,1
64,7,5,3,4,6,1
64,7,4,4,5,6,1
64,7,4,4,5,6,1
64,7,4,3,6,6,1
64,7,4,4,4,6,1
64,7,4,4,4,6,1
64,7,5,5,4,6,1
64,7,4,4,5,6,1
64,7,4,3,3,6,1
64,7,4,5,4,6,1
64,7,4,5,4,6,1
64,7,3,6,3,6,1
64,7,4,4,5,6,1
64,7,4,6,4,6,1
64,7,4,5,4,6,1
64,7,4,5,4,6,1
64,7,3,4,4,6,1
64,7,3,4,5,6,1
64,7,5,3,2,6,1
64,7,4,4,4,6,1
64,7,4,4,3,6,1
64,7,4,4,2,6,1
65,7,5,5,4,3,1
65,7,4,4,4,3,1
65,7,5,5,6,3,1
65,7,5,4,6,3,1
65,7,5,3,4,3,1
65,7,5,3,5,3,1
65,7,5,5,3,3,1
65,7,5,5,3,3,1
65,7,5,3,2,3,1
65,7,5,4,3,3,1
65,7,5,3,3,3,1
65,7,5,5,4,3,1
65,7,6,5,4,3,1
65,7,5,4,4,3,1
65,7,5,5,4,3,1
65,7,4,3,4,3,1
65,7,4,4,3,3,1
65,7,5,3,5,3,1
65,7,5,4,4,3,1
65,7,5,4,4,3,1
65,7,4,3,4,3,1
65,7,5,4,3,3,1
65,7,5,4,4,3,1
65,7,4,4,3,3,1
65,7,5,4,5,3,1
65,7,5,4,3,3,1
65,7,4,5,4,3,1
65,7,6,4,4,3,1
65,7,4,4,4,3,1
65,7,4,4,3,3,1
65,7,6,4,5,3,1
65,7,4,6,4,3,1
65,7,4,3,4,3,1
65,7,4,4,4,3,1
65,7,5,4,4,3,1
65,7,5,4,4,3,1
65,7,4,4,3,3,1
65,7,5,2,4,3,1
65,7,5,5,3,3,1
65,7,6,4,5,3,1
65,7,5,4,4,3,1
65,7,5,4,3,3,1
65,7,4,4,4,3,1
65,7,6,2,3,3,1
65,7,4,5,3,3,1
65,7,5,5,5,3,1
65,7,5,3,3,3,1
65,7,5,4,4,3,1
65,7,5,4,4,3,1
65,7,5,4,4,3,1
66,7,3,5,2,7,1
66,7,3,5,5,7,1
66,7,3,4,4,7,1
66,7,4,5,4,7,1
66,7,4,4,3,7,1
66,7,4,4,3,7,1
66,7,4,5,3,7,1
66,7,4,4,5,7,1
66,7,4,5,4,7,1
66,7,4,5,4,7,1
66,7,3,4,4,7,1
66,7,3,3,3,7,1
66,7,4,3,5,7,1
66,7,3,3,4,7,1
66,7,4,3,3,7,1
66,7,4,4,4,7,1
66,7,5,3,6,7,1
66,7,3,3,3,7,1
66,7,4,4,3,7,1
66,7,4,4,6,7,1
66,7,3,4,3,7,1
66,7,4,5,3,7,1
66,7,4,6,4,7,1
66,7,3,3,4,7,1
66,7,3,5,2,7,1
66,7,4,4,4,7,1
66,7,4,4,3,7,1
66,7,4,4,3,7,1
66,7,4,5,4,7,1
66,7,3,5,4,7,1
66,7,3,4,4,7,1
66,7,3,5,2,7,1
66,7,4,4,4,7,1
66,7,4,3,5,7,1
66,7,4,4,3,7,1
66,7,4,5,4,7,1
66,7,4,4,3,7,1
66,7,3,4,3,7,1
66,7,3,3,5,7,1
66,7,3,4,4,7,1
66,7,4,4,4,7,1
66,7,5,5,4,7,1
66,7,4,5,5,7,1
66,7,3,1,3,7,1
66,7,3,3,3,7,1
66,7,3,4,3,7,1
66,7,3,3,4,7,1
66,7,4,5,4,7,1
66,7,4,3,3,7,1
66,7,5,4,5,7,1
67,8,3,4,4,4,1
67,8,4,4,4,4,1
67,8,4,4,5,4,1
67,8,3,5,3,4,1
67,8,4,4,4,4,1
67,8,3,4,2,4,1
67,8,3,4,4,4,1
67,8,5,5,3,4,1
67,8,4,3,5,4,1
67,8,4,4,5,4,1
67,8,4,4,3,4,1
67,8,4,3,5,4,1
67,8,5,3,4,4,1
67,8,4,5,3,4,1
67,8,4,5,4,4,1
67,8,4,5,4,4,1
67,8,4,4,5,4,1
67,8,4,4,5,4,1
67,8,4,5,4,4,1
67,8,4,3,5,4,1
67,8,3,2,4,4,1
67,8,4,5,5,4,1
67,8,4,3,3,4,1
67,8,3,4,4,4,1
67,8,3,4,4,4,1
67,8,3,4,4,4,1
67,8,4,3,4,4,1
67,8,3,5,5,4,1
67,8,4,6,4,4,1
67,8,4,4,4,4,1
67,8,4,4,4,4,1
67,8,3,5,5,4,1
67,8,3,3,3,4,1
67,8,5,5,5,4,1
67,8,4,3,3,4,1
67,8,3,6,5,4,1
67,8,4,4,3,4,1
67,8,4,4,4,4,1
67,8,4,4,3,4,1
67,8,4,3,3,4,1
67,8,3,3,3,4,1
67,8,4,5,4,4,1
67,8,3,6,4,4,1
67,8,4,4,4,4,1
67,8,3,4,3,4,1
67,8,3,3,5,4,1
67,8,3,4,3,4,1
67,8,4,4,3,4,1
67,8,4,5,4,4,1
67,8,3,3,3,4,1
68,8,5,4,4,1,1
68,8,5,4,4,1,1
68,8,4,4,3,1,1
68,8,4,5,4,1,1
68,8,5,5,4,1,1
68,8,3,2,3,1,1
68,8,5,4,5,1,1
68,8,5,5,4,1,1
68,8,5,4,4,1,1
68,8,4,4,5,1,1
68,8,4,5,4,1,1
68,8,5,4,5,1,1
68,8,4,4,4,1,1
68,8,5,4,3,1,1
68,8,5,4,4,1,1
68,8,4,4,3,1,1
68,8,4,4,5,1,1
68,8,5,4,3,1,1
68,8,4,3,4,1,1
68,8,4,4,4,1,1
68,8,5,4,4,1,1
68,8,5,4,5,1,1
68,8,4,4,3,1,1
68,8,5,3,4,1,1
68,8,4,4,4,1,1
68,8,4,4,4,1,1
68,8,4,4,5,1,1
68,8,4,5,5,1,1
68,8,5,4,5,1,1
68,8,3,2,4,1,1
68,8,5,4,3,1,1
68,8,5,5,4,1,1
68,8,5,4,4,1,1
68,8,5,4,4,1,1
68,8,4,3,3,1,1
68,8,5,3,5,1,1
68,8,5,3,3,1,1
68,8,4,4,5,1,1
68,8,5,4,4,1,1
68,8,5,4,5,1,1
68,8,4,4,4,1,1
68,8,5,3,4,1,1
68,8,4,5,2,1,1
68,8,4,3,4,1,1
68,8,4,5,4,1,1
68,8,4,2,3,1,1
68,8,4,3,4,1,1
68,8,4,3,5,1,1
68,8,4,4,2,1,1
68,8,5,3,3,1,1
69,8,5,3,3,2,1
69,8,5,4,4,2,1
69,8,5,4,5,2,1
69,8,5,5,3,2,1
69,8,5,4,4,2,1
69,8,5,2,3,2,1
69,8,5,2,2,2,1
69,8,5,4,3,2,1
69,8,6,4,5,2,1
69,8,5,4,3,2,1
69,8,5,4,4,2,1
69,8,4,3,4,2,1
69,8,4,4,4,2,1
69,8,5,5,4,2,1
69,8,5,3,4,2,1
69,8,5,4,4,2,1
69,8,6,5,3,2,1
69,8,5,4,4,2,1
69,8,6,4,3,2,1
69,8,5,5,5,2,1
69,8,5,3,3,2,1
69,8,5,4,4,2,1
69,8,6,5,3,2,1
69,8,5,4,3,2,1
69,8,5,3,3,2,1
69,8,5,4,3,2,1
69,8,5,5,4,2,1
69,8,5,4,4,2,1
69,8,5,4,2,2,1
69,8,5,4,4,2,1
69,8,5,4,4,2,1
69,8,5,5,4,2,1
69,8,5,4,4,2,1
69,8,5,5,3,2,1
69,8,5,4,3,2,1
69,8,5,5,3,2,1
69,8,6,5,4,2,1
69,8,5,4,4,2,1
69,8,5,4,4,2,1
69,8,5,4,3,2,1
69,8,5,4,4,2,1
69,8,5,4,5,2,1
69,8,5,4,4,2,1
69,8,5,3,4,2,1
69,8,5,5,4,2,1
69,8,4,3,3,2,1
69,8,5,5,3,2,1
69,8,5,4,4,2,1
69,8,5,5,5,2,1
69,8,5,6,4,2,1
70,8,5,6,4,6,1
70,8,5,4,4,6,1
70,8,5,5,4,6,1
70,8,5,4,5,6,1
70,8,4,4,4,6,1
70,8,5,5,4,6,1
70,8,5,5,3,6,1
70,8,4,5,4,6,1
70,8,5,5,3,6,1
70,8,6,4,4,6,1
70,8,5,4,3,6,1
70,8,4,3,2,6,1
70,8,6,6,4,6,1
70,8,5,4,4,6,1
70,8,5,4,5,6,1
70,8,5,6,2,6,1
70,8,6,5,4,6,1
70,8,5,3,3,6,1
70,8,5,4,3,6,1
70,8,5,3,4,6,1
70,8,5,5,3,6,1
70,8,6,3,6,6,1
70,8,5,5,4,6,1
70,8,5,5,4,6,1
70,8,5,5,4,6,1
70,8,5,6,3,6,1
70,8,5,4,4,6,1
70,8,5,2,4,6,1
70,8,6,5,4,6,1
70,8,5,4,3,6,1
70,8,5,4,3,6,1
70,8,5,4,3,6,1
70,8,5,5,3,6,1
70,8,4,4,5,6,1
70,8,5,3,4,6,1
70,8,6,5,5,6,1
70,8,5,5,4,6,1
70,8,5,4,4,6,1
70,8,6,4,3,6,1
70,8,5,3,4,6,1
70,8,5,4,3,6,1
70,8,5,2,5,6,1
70,8,5,4,4,6,1
70,8,5,4,2,6,1
70,8,5,4,4,6,1
70,8,5,5,5,6,1
70,8,6,4,4,6,1
70,8,5,3,5,6,1
70,8,5,4,3,6,1
70,8,5,4,4,6,1
71,8,3,4,4,5,1
71,8,3,4,3,5,1
71,8,4,6,4,5,1
71,8,3,5,5,5,1
71,8,3,3,3,5,1
71,8,4,4,5,5,1
71,8,4,3,4,5,1
71,8,4,4,4,5,1
71,8,4,3,5,5,1
71,8,5,4,4,5,1
71,8,4,5,4,5,1
71,8,4,5,4,5,1
71,8,4,3,4,5,1
71,8,3,4,3,5,1
71,8,3,5,3,5,1
71,8,4,6,4,5,1
71,8,4,4,4,5,1
71,8,3,4,4,5,1
71,8,3,4,3,5,1
71,8,4,3,4,5,1
71,8,5,5,3,5,1
71,8,4,4,4,5,1
71,8,4,3,3,5,1
71,8,4,2,3,5,1
71,8,3,5,3,5,1
71,8,5,5,4,5,1
71,8,3,4,3,5,1
71,8,4,4,3,5,1
71,8,4,5,3,5,1
71,8,3,4,4,5,1
71,8,4,3,3,5,1
71,8,4,3,5,5,1
71,8,4,3,4,5,1
71,8,3,4,4,5,1
71,8,3,4,6,5,1
71,8,3,3,5,5,1
71,8,3,3,5,5,1
71,8,4,5,4,5,1
71,8,3,4,3,5,1
71,8,3,5,4,5,1
71,8,4,5,4,5,1
71,8,4,4,4,5,1
71,8,4,5,2,5,1
71,8,4,3,5,5,1
71,8,3,4,3,5,1
71,8,3,4,4,5,1
71,8,4,4,4,5,1
71,8,4,4,3,5,1
71,8,3,5,4,5,1
71,8,4,6,3,5,1
72,8,3,4,4,2,1
72,8,4,5,3,2,1
72,8,4,4,4,2,1
72,8,4,3,5,2,1
72,8,4,4,3,2,1
72,8,4,4,3,2,1
72,8,4,6,3,2,1
72,8,4,4,2,2,1
72,8,4,4,5,2,1
72,8,4,4,5,2,1
72,8,4,3,3,2,1
72,8,4,4,4,2,1
72,8,3,4,3,2,1
72,8,4,5,4,2,1
72,8,4,5,5,2,1
72,8,4,3,4,2,1
72,8,4,4,5,2,1
72,8,4,3,4,2,1
72,8,4,4,5,2,1
72,8,3,4,2,2,1
72,8,4,2,4,2,1
72,8,3,4,3,2,1
72,8,3,4,4,2,1
72,8,3,5,3,2,1
72,8,4,3,3,2,1
72,8,4,5,4,2,1
72,8,4,4,4,2,1
72,8,4,3,6,2,1
72,8,3,4,3,2,1
72,8,4,3,2,2,1
72,8,3,4,3,2,1
72,8,3,4,3,2,1
72,8,4,4,3,2,1
72,8,3,4,2,2,1
72,8,3,5,3,2,1
72,8,4,5,3,2,1
72,8,3,4,3,2,1
72,8,4,4,3,2,1
72,8,4,5,4,2,1
72,8,4,4,5,2,1
72,8,4,4,4,2,1
72,8,4,4,4,2,1
72,8,3,5,3,2,1
72,8,4,4,4,2,1
72,8,3,3,4,2,1
72,8,4,4,3,2,1
72,8,3,5,3,2,1
72,8,4,5,5,2,1
72,8,3,4,4,2,1
72,8,4,3,4,2,1
73,8,5,4,3,2,1
73,8,4,3,3,2,1
73,8,5,4,5,2,1
73,8,4,4,4,2,1
73,8,5,5,3,2,1
73,8,5,3,3,2,1
73,8,5,4,4,2,1
73,8,5,5,6,2,1
73,8,4,5,2,2,1
73,8,6,6,5,2,1
73,8,4,4,3,2,1
73,8,5,4,5,2,1
73,8,5,4,3,2,1
73,8,5,5,3,2,1
73,8,4,4,2,2,1
73,8,5,4,4,2,1
73,8,5,4,3,2,1
73,8,5,4,4,2,1
73,8,4,3,4,2,1
73,8,5,4,3,2,1
73,8,5,5,5,2,1
73,8,4,5,5,2,1
73,8,4,3,4,2,1
73,8,5,5,3,2,1
73,8,5,4,2,2,1
73,8,5,6,4,2,1
73,8,5,4,4,2,1
73,8,5,3,2,2,1
73,8,4,4,3,2,1
73,8,5,4,4,2,1
73,8,5,3,4,2,1
73,8,5,5,4,2,1
73,8,6,6,4,2,1
73,8,5,4,4,2,1
73,8,5,3,3,2,1
73,8,5,4,4,2,1
73,8,4,5,3,2,1
73,8,4,3,4,2,1
73,8,5,3,3,2,1
73,8,5,3,5,2,1
73,8,5,3,5,2,1
73,8,4,3,4,2,1
73,8,5,5,4,2,1
73,8,5,4,2,2,1
73,8,4,3,4,2,1
73,8,5,3,4,2,1
73,8,4,4,4,2,1
73,8,5,5,5,2,1
73,8,5,5,3,2,1
73,8,5,4,3,2,1
74,8,4,3,3,4,1
74,8,4,6,4,4,1
74,8,4,3,3,4,1
74,8,4,4,3,4,1
74,8,3,4,3,4,1
74,8,3,4,5,4,1
74,8,5,4,4,4,1
74,8,3,3,4,4,1
74,8,3,3,5,4,1
74,8,3,3,3,4,1
74,8,3,4,3,4,1
74,8,4,5,4,4,1
74,8,4,5,4,4,1
74,8,3,4,3,4,1
74,8,3,2,4,4,1
74,8,4,5,3,4,1
74,8,4,3,3,4,1
74,8,4,3,5,4,1
74,8,4,4,5,4,1
74,8,3,4,3,4,1
74,8,4,4,5,4,1
74,8,3,4,4,4,1
74,8,3,2,4,4,1
74,8,3,5,5,4,1
74,8,4,5,3,4,1
74,8,4,4,3,4,1
74,8,4,3,3,4,1
74,8,4,5,4,4,1
74,8,3,3,5,4,1
74,8,4,6,3,4,1
74,8,3,3,4,4,1
74,8,4,4,3,4,1
74,8,3,5,3,4,1
74,8,3,3,4,4,1
74,8,3,3,3,4,1
74,8,4,4,4,4,1
74,8,5,5,5,4,1
74,8,4,4,3,4,1
74,8,4,4,4,4,1
74,8,4,2,5,4,1
74,8,3,4,3,4,1
74,8,4,2,3,4,1
74,8,5,5,3,4,1
74,8,3,4,4,4,1
74,8,3,3,4,4,1
74,8,2,3,3,4,1
74,8,4,3,4,4,1
74,8,3,5,4,4,1
74,8,4,5,3,4,1
74,8,4,4,4,4,1
75,8,2,3,4,7,1
75,8,3,3,3,7,1
75,8,4,4,4,7,1
75,8,5,4,4,7,1
75,8,4,3,3,7,1
75,8,4,4,4,7,1
75,8,4,4,5,7,1
75,8,4,4,4,7,1
75,8,5,6,4,7,1
75,8,4,4,4,7,1
75,8,3,4,4,7,1
75,8,4,3,3,7,1
75,8,4,4,3,7,1
75,8,4,3,4,7,1
75,8,4,4,4,7,1
75,8,3,6,3,7,1
75,8,3,5,4,7,1
75,8,4,4,2,7,1
75,8,3,4,5,7,1
75,8,5,5,5,7,1
75,8,4,4,4,7,1
75,8,3,4,3,7,1
75,8,4,3,4,7,1
75,8,4,3,4,7,1
75,8,5,5,5,7,1
75,8,4,4,4,7,1
75,8,4,3,3,7,1
75,8,4,4,4,7,1
75,8,4,3,3,7,1
75,8,3,3,3,7,1
75,8,3,4,3,7,1
75,8,4,3,3,7,1
75,8,4,3,4,7,1
75,8,5,4,4,7,1
75,8,4,2,3,7,1
75,8,3,4,3,7,1
75,8,4,4,6,7,1
75,8,3,4,2,7,1
75,8,5,4,4,7,1
75,8,4,3,3,7,1
75,8,5,4,4,7,1
75,8,4,5,5,7,1
75,8,4,4,4,7,1
75,8,4,3,5,7,1
75,8,5,4,4,7,1
75,8,5,3,4,7,1
75,8,5,5,6,7,1
75,8,4,4,4,7,1
75,8,4,4,5,7,1
75,8,5,5,5,7,1
76,9,3,5,4,3,1
76,9,4,5,4,3,1
76,9,4,4,3,3,1
76,9,4,5,3,3,1
76,9,5,4,3,3,1
76,9,5,4,3,3,1
76,9,4,4,3,3,1
76,9,5,4,3,3,1
76,9,4,3,3,3,1
76,9,4,5,3,3,1
76,9,5,4,3,3,1
76,9,4,5,4,3,1
76,9,4,3,4,3,1
76,9,4,4,3,3,1
76,9,5,5,3,3,1
76,9,5,3,5,3,1
76,9,4,5,5,3,1
76,9,4,4,4,3,1
76,9,5,5,4,3,1
76,9,5,5,5,3,1
76,9,4,4,4,3,1
76,9,4,5,4,3,1
76,9,4,4,5,3,1
76,9,5,5,3,3,1
76,9,3,5,4,3,1
76,9,4,2,3,3,1
76,9,4,5,5,3,1
76,9,4,4,4,3,1
76,9,4,4,4,3,1
76,9,6,4,4,3,1
76,9,4,3,4,3,1
76,9,5,4,4,3,1
76,9,4,4,3,3,1
76,9,5,4,5,3,1
76,9,4,4,5,3,1
76,9,5,4,4,3,1
76,9,5,5,4,3,1
76,9,4,4,3,3,1
76,9,5,4,4,3,1
76,9,4,5,3,3,1
76,9,4,2,5,3,1
76,9,4,4,3,3,1
76,9,4,4,3,3,1
76,9,5,3,5,3,1
76,9,4,5,4,3,1
76,9,4,4,4,3,1
76,9,4,4,4,3,1
76,9,4,4,3,3,1
76,9,4,5,5,3,1
76,9,4,4,3,3,1
77,9,4,5,4,3,1
77,9,4,5,4,3,1
77,9,5,3,4,3,1
77,9,4,6,4,3,1
77,9,4,5,2,3,1
77,9,4,4,4,3,1
77,9,5,5,4,3,1
77,9,5,3,4,3,1
77,9,5,3,4,3,1
77,9,4,3,3,3,1
77,9,5,6,3,3,1
77,9,4,4,4,3,1
77,9,4,4,4,3,1
77,9,5,6,4,3,1
77,9,5,4,5,3,1
77,9,5,5,4,3,1
77,9,5,4,3,3,1
77,9,4,4,4,3,1
77,9,4,4,4,3,1
77,9,5,4,5,3,1
77,9,4,4,3,3,1
77,9,5,3,4,3,1
77,9,4,4,5,3,1
77,9,5,4,3,3,1
77,9,5,3,4,3,1
77,9,4,4,3,3,1
77,9,5,5,4,3,1
77,9,5,6,4,3,1
77,9,4,4,4,3,1
77,9,4,3,3,3,1
77,9,4,4,4,3,1
77,9,5,5,2,3,1
77,9,5,4,5,3,1
77,9,4,4,3,3,1
77,9,4,4,5,3,1
77,9,5,4,4,3,1
77,9,5,5,5,3,1
77,9,6,5,5,3,1
77,9,5,4,4,3,1
77,9,5,4,3,3,1
77,9,4,4,3,3,1
77,9,4,4,3,3,1
77,9,5,5,4,3,1
77,9,5,4,5,3,1
77,9,5,5,3,3,1
77,9,4,4,3,3,1
77,9,5,3,3,3,1
77,9,3,4,2,3,1
77,9,5,5,4,3,1
77,9,5,6,4,3,1
78,9,4,5,4,6,1
78,9,4,2,4,6,1
78,9,5,5,5,6,1
78,9,5,3,3,6,1
78,9,4,5,4,6,1
78,9,4,3,4,6,1
78,9,6,4,3,6,1
78,9,4,3,4,6,1
78,9,5,6,4,6,1
78,9,5,5,5,6,1
78,9,4,5,3,6,1
78,9,5,4,4,6,1
78,9,4,6,4,6,1
78,9,5,6,4,6,1
78,9,4,4,3,6,1
78,9,5,4,4,6,1
78,9,4,4,3,6,1
78,9,4,4,3,6,1
78,9,5,4,4,6,1
78,9,5,5,4,6,1
78,9,3,4,2,6,1
78,9,5,6,4,6,1
78,9,4,4,3,6,1
78,9,5,5,4,6,1
78,9,5,5,4,6,1
78,9,5,3,4,6,1
78,9,4,4,4,6,1
78,9,5,5,5,6,1
78,9,5,5,6,6,1
78,9,5,4,5,6,1
78,9,5,5,5,6,1
78,9,4,4,5,6,1
78,9,4,4,2,6,1
78,9,3,4,4,6,1
78,9,5,4,3,6,1
78,9,4,5,4,6,1
78,9,4,2,4,6,1
78,9,4,5,4,6,1
78,9,4,4,3,6,1
78,9,5,5,4,6,1
78,9,4,3,3,6,1
78,9,3,4,2,6,1
78,9,5,5,4,6,1
78,9,4,4,4,6,1
78,9,6,3,4,6,1
78,9,5,4,5,6,1
78,9,5,4,3,6,1
78,9,5,4,4,6,1
78,9,5,5,5,6,1
78,9,5,4,5,6,1
79,9,4,4,5,7,1
79,9,5,4,5,7,1
79,9,4,3,3,7,1
79,9,5,4,5,7,1
79,9,5,4,4,7,1
79,9,3,5,3,7,1
79,9,4,4,4,7,1
79,9,4,3,3,7,1
79,9,5,4,4,7,1
79,9,3,4,3,7,1
79,9,4,4,4,7,1
79,9,4,4,5,7,1
79,9,4,4,3,7,1
79,9,3,4,4,7,1
79,9,5,3,4,7,1
79,9,4,3,4,7,1
79,9,4,4,4,7,1
79,9,3,2,2,7,1
79,9,3,3,2,7,1
79,9,4,4,3,7,1
79,9,3,3,2,7,1
79,9,4,4,4,7,1
79,9,4,4,5,7,1
79,9,4,4,5,7,1
79,9,4,4,4,7,1
79,9,4,5,4,7,1
79,9,4,4,5,7,1
79,9,4,5,4,7,1
79,9,5,3,5,7,1
79,9,4,4,5,7,1
79,9,4,4,3,7,1
79,9,3,4,2,7,1
79,9,5,5,4,7,1
79,9,4,4,4,7,1
79,9,5,4,4,7,1
79,9,2,4,2,7,1
79,9,4,4,3,7,1
79,9,5,4,4,7,1
79,9,3,5,3,7,1
79,9,4,5,4,7,1
79,9,4,5,3,7,1
79,9,4,4,4,7,1
79,9,3,5,3,7,1
79,9,4,3,3,7,1
79,9,4,4,3,7,1
79,9,4,4,4,7,1
79,9,4,4,4,7,1
79,9,4,5,4,7,1
79,9,5,5,6,7,1
79,9,3,4,3,7,1
80,9,2,5,3,5,1
80,9,4,4,3,5,1
80,9,2,4,2,5,1
80,9,3,5,5,5,1
80,9,3,5,4,5,1
80,9,2,3,4,5,1
80,9,2,5,3,5,1
80,9,4,4,4,5,1
80,9,3,4,4,5,1
80,9,2,3,3,5,1
80,9,3,5,4,5,1
80,9,3,6,5,5,1
80,9,2,5,4,5,1
80,9,3,5,5,5,1
80,9,3,4,3,5,1
80,9,4,5,3,5,1
80,9,3,4,3,5,1
80,9,3,5,4,5,1
80,9,3,3,4,5,1
80,9,3,3,3,5,1
80,9,3,4,4,5,1
80,9,3,5,5,5,1
80,9,3,4,4,5,1
80,9,3,4,3,5,1
80,9,2,4,4,5,1
80,9,4,5,4,5,1
80,9,3,3,4,5,1
80,9,3,4,4,5,1
80,9,3,4,4,5,1
80,9,4,5,5,5,1
80,9,3,4,4,5,1
80,9,3,3,3,5,1
80,9,2,3,3,5,1
80,9,3,4,4,5,1
80,9,3,3,4,5,1
80,9,3,4,5,5,1
80,9,2,5,3,5,1
80,9,2,4,4,5,1
80,9,3,4,4,5,1
80,9,3,4,3,5,1
